"NC8";"Libelle";"CPF4 rév. 2";"CPF6 rév. 2";"A17 rév. 2";"A38 rév. 2";"A129 rév. 2";"CF4 rév. 2.1";"CPF6 rév. 2.1";"A17 rév. 2.1";"A38 rév. 2.1";"A129 rév. 2.1";"Début";"Fin"
"0102 90 20";"Animaux reproducteurs de race pure de l'espèce bovine (à l'exclusion des bovins domestiques et des buffles)";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";2002;2020
"0102 90 91";"Animaux domestiques vivants de l'espèce bovine (à l'exclusion des bovins domestiques, des buffles et des animaux reproducteurs de race pure)";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";1993;2020
"0102 90 99";"Animaux vivants de l'espèce bovine (à l'exclusion des bovins domestiques, des buffles, des animaux reproducteurs de race pure et des espèces domestiques)";"0142";"014211";"AZ";"AZ";"A01Z";"0142";"014211";"AZ";"AZ";"A01Z";1993;2020
"0103 10 00";"Porcins reproducteurs de race pure";"0146";"014610";"AZ";"AZ";"A01Z";"0146";"014610";"AZ";"AZ";"A01Z";1993;2020
"0103 91 10";"Porcins [des espèces domestiques], vivants, d'un poids < 50 kg (à l'excl. des animaux reproducteurs de race pure)";"0146";"014610";"AZ";"AZ";"A01Z";"0146";"014610";"AZ";"AZ";"A01Z";1993;2020
"0103 91 90";"Porcins des espèces non-domestiques, vivants, d'un poids < 50 kg";"0146";"014610";"AZ";"AZ";"A01Z";"0146";"014610";"AZ";"AZ";"A01Z";1993;2020
"0103 92 11";"Truies, [des espèces domestiques], vivantes, d'un poids >= 160 kg, ayant mis bas au moins une fois (à l'excl. des animaux reproducteurs de race pure)";"0146";"014610";"AZ";"AZ";"A01Z";"0146";"014610";"AZ";"AZ";"A01Z";1993;2020
"0103 92 19";"Porcins [des espèces domestiques], vivants, d'un poids >= 50 kg (à l'excl. des animaux reproducteurs de race pure et des truies d'un poids >= 160 kg ayant mis bas au moins une fois)";"0146";"014610";"AZ";"AZ";"A01Z";"0146";"014610";"AZ";"AZ";"A01Z";1993;2020
"0103 92 90";"Porcins, des espèces non-domestiques, vivants, d'un poids >= 50 kg";"0146";"014610";"AZ";"AZ";"A01Z";"0146";"014610";"AZ";"AZ";"A01Z";1993;2020
"0104 10 10";"Ovins reproducteurs de race pure";"0145";"014511";"AZ";"AZ";"A01Z";"0145";"014511";"AZ";"AZ";"A01Z";1993;2020
"0104 10 30";"Agneaux jusqu'à l'âge d'un an, vivants (à l'excl. des animaux reproducteurs de race pure)";"0145";"014511";"AZ";"AZ";"A01Z";"0145";"014511";"AZ";"AZ";"A01Z";1993;2020
"0104 10 80";"Ovins, vivants (à l'excl. des agneaux et des animaux reproducteurs de race pure)";"0145";"014511";"AZ";"AZ";"A01Z";"0145";"014511";"AZ";"AZ";"A01Z";1993;2020
"0104 20 10";"Caprins reproducteurs de race pure";"0145";"014512";"AZ";"AZ";"A01Z";"0145";"014512";"AZ";"AZ";"A01Z";2006;2020
"0104 20 90";"Caprins, vivants (à l'excl. des animaux reproducteurs de race pure)";"0145";"014512";"AZ";"AZ";"A01Z";"0145";"014512";"AZ";"AZ";"A01Z";1993;2020
"0105 11 11";"Poussins femelles de sélection et de multiplication, de race de ponte [des espèces domestiques], d'un poids <= 185 g";"0147";"014711";"AZ";"AZ";"A01Z";"0147";"014711";"AZ";"AZ";"A01Z";1993;2020
"0105 11 19";"Poussins femelles de sélection et de multiplication [des espèces domestiques], d'un poids <= 185 g (à l'excl. des animaux de race de ponte)";"0147";"014711";"AZ";"AZ";"A01Z";"0147";"014711";"AZ";"AZ";"A01Z";1993;2020
"0105 11 91";"Coqs et poules de race de ponte [des espèces domestiques], d'un poids <= 185 g (à l'excl. des poussins femelles de sélection et de multiplication)";"0147";"014711";"AZ";"AZ";"A01Z";"0147";"014711";"AZ";"AZ";"A01Z";2002;2020
"0105 11 99";"Coqs et poules [des espèces domestiques], vivants, d'un poids <= 185 g (à l'excl. des animaux de race de ponte ainsi que des poussins femelles de sélection et de multiplication)";"0147";"014711";"AZ";"AZ";"A01Z";"0147";"014711";"AZ";"AZ";"A01Z";2002;2020
"0105 12 00";"Dindes et dindons [des espèces domestiques], vivants, d'un poids <= 185 g";"0147";"014712";"AZ";"AZ";"A01Z";"0147";"014712";"AZ";"AZ";"A01Z";2011;2020
"0105 13 00";"Canards domestiques, vivants, d’un poids <= 185 g";"0147";"014714";"AZ";"AZ";"A01Z";"0147";"014714";"AZ";"AZ";"A01Z";1993;2020
"0105 14 00";"Oies domestiques, vivantes, d’un poids <= 185 g";"0147";"014713";"AZ";"AZ";"A01Z";"0147";"014713";"AZ";"AZ";"A01Z";2011;2020
"0105 15 00";"Pintades domestiques, vivantes, d’un poids <= 185 g";"0147";"014714";"AZ";"AZ";"A01Z";"0147";"014714";"AZ";"AZ";"A01Z";2011;2020
"0105 94 00";"Coqs et poules [des espèces domestiques], vivants, d'un poids > 185 g";"0147";"014711";"AZ";"AZ";"A01Z";"0147";"014711";"AZ";"AZ";"A01Z";1993;2020
"0105 99 10";"Canards [des espèces domestiques], vivants, d'un poids > 185 g";"0147";"014714";"AZ";"AZ";"A01Z";"0147";"014714";"AZ";"AZ";"A01Z";1993;2020
"0105 99 20";"Oies [des espèces domestiques], vivantes, d'un poids > 185 g";"0147";"014713";"AZ";"AZ";"A01Z";"0147";"014713";"AZ";"AZ";"A01Z";1993;2020
"0105 99 30";"Dindons et dindes [des espèces domestiques], vivants, d'un poids > 185 g";"0147";"014712";"AZ";"AZ";"A01Z";"0147";"014712";"AZ";"AZ";"A01Z";2011;2020
"0105 99 50";"Pintades [des espèces domestiques], vivantes, d'un poids > 185 g";"0147";"014714";"AZ";"AZ";"A01Z";"0147";"014714";"AZ";"AZ";"A01Z";1993;2020
"0106 11 00";"Primates, vivants";"0149";"014919";"AZ";"AZ";"A01Z";"0149";"014919";"AZ";"AZ";"A01Z";1993;2020
"0106 12 00";"Baleines, dauphins et marsouins (mammifères de l'ordre des cétacés) ; lamantins et dugongs (mammifères de l'ordre des siréniens) ; otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), vivants";"0300";"030069";"AZ";"AZ";"A03Z";"0300";"030069";"AZ";"AZ";"A03Z";2007;2020
"0106 13 00";"Chameaux et autres camélidés (Camélidés), vivants";"0149";"014919";"AZ";"AZ";"A01Z";"0144";"014410";"AZ";"AZ";"A01Z";1993;2020
"0106 14 10";"Lapins domestiques, vivants";"0149";"014911";"AZ";"AZ";"A01Z";"0149";"014911";"AZ";"AZ";"A01Z";1993;2020
"0106 14 90";"Lapins et lièvres, vivants (à l'exclusion des lapins domestiques)";"0149";"014919";"AZ";"AZ";"A01Z";"0149";"014919";"AZ";"AZ";"A01Z";1993;2020
"0106 19 00";"Mammifères vivants (à l’exclusion des primates, des baleines, dauphins et marsouins, des lamantins et dugongs, des otaries et phoques, lions de mer et morses, des chameaux et autres camélidés, des lapins et lièvres et des animaux des espèces chevaline, asine, mulassière, bovine, porcine, ovine ou caprine)";"0149";"014919";"AZ";"AZ";"A01Z";"0149";"014919";"AZ";"AZ";"A01Z";1993;2020
"0106 20 00";"Reptiles [p.ex. serpents, tortues, alligators, caïmans, iguanes, gavials et lézards], vivants";"0149";"014913";"AZ";"AZ";"A01Z";"0149";"014913";"AZ";"AZ";"A01Z";1993;2020
"0106 31 00";"Oiseaux de proie, vivants";"0149";"014912";"AZ";"AZ";"A01Z";"0149";"014912";"AZ";"AZ";"A01Z";1993;2020
"0106 32 00";"Psittaciformes [y.c. les perroquets, perruches, aras et cacatoès], vivants";"0149";"014912";"AZ";"AZ";"A01Z";"0149";"014912";"AZ";"AZ";"A01Z";1993;2020
"0106 33 00";"Autruches, émeus (Dromaius novaehollandiae), vivants";"0149";"014912";"AZ";"AZ";"A01Z";"0149";"014912";"AZ";"AZ";"A01Z";1993;2020
"0106 39 10";"Pigeons, vivants";"0149";"014912";"AZ";"AZ";"A01Z";"0149";"014912";"AZ";"AZ";"A01Z";1995;2020
"0106 39 80";"Oiseaux, vivants (à l'exclusion des oiseaux de proie, psittaciformes, perroquets, perruches, aras, cacatoès, autruches, émeus et pigeons)";"0149";"014912";"AZ";"AZ";"A01Z";"0149";"014912";"AZ";"AZ";"A01Z";2010;2020
"0106 41 00";"Abeilles, vivantes";"0149";"014919";"AZ";"AZ";"A01Z";"0149";"014919";"AZ";"AZ";"A01Z";1993;2020
"0106 49 00";"Insectes, vivants (à l'exclusion des abeilles)";"0149";"014919";"AZ";"AZ";"A01Z";"0149";"014919";"AZ";"AZ";"A01Z";1993;2020
"0106 90 00";"Animaux, vivants (à l’exclusion des mammifères, reptiles, oiseaux, insectes, poissons, crustacés, mollusques et autres invertébrés aquatiques ainsi que des cultures de micro-organismes et des produits simil.)";"0149";"014919";"AZ";"AZ";"A01Z";"0149";"014919";"AZ";"AZ";"A01Z";1993;2020
"0201 10 00";"Carcasses ou demi-carcasses, de bovins, fraîches ou réfrigérées";"1011";"101111";"C1";"CA";"C10A";"1011";"101111";"C1";"CA";"C10A";1994;2020
"0201 20 20";"Quartiers dits 'compensés', de bovins, non-désossés, frais ou réfrigérés";"1011";"101111";"C1";"CA";"C10A";"1011";"101111";"C1";"CA";"C10A";1993;2020
"0201 20 30";"Quartiers avant de bovins, attenants ou séparés, non-désossés, frais ou réfrigérés";"1011";"101111";"C1";"CA";"C10A";"1011";"101111";"C1";"CA";"C10A";1993;2020
"0201 20 50";"Quartiers arrière de bovins, attenants ou séparés, non-désossés, frais ou réfrigérés";"1011";"101111";"C1";"CA";"C10A";"1011";"101111";"C1";"CA";"C10A";2017;2020
"0201 20 90";"Viandes de bovins, non-désossées, fraîches ou réfrigérées (à l'excl. des carcasses et demi-carcasses, des quartiers compensés et des quartiers avant et arrière)";"1011";"101111";"C1";"CA";"C10A";"1011";"101111";"C1";"CA";"C10A";2017;2020
"0201 30 00";"Viandes désossées de bovins, fraîches ou réfrigérées";"1011";"101111";"C1";"CA";"C10A";"1011";"101111";"C1";"CA";"C10A";2017;2020
"0202 10 00";"Carcasses ou demi-carcasses, de bovins, congelées";"1011";"101131";"C1";"CA";"C10A";"1011";"101131";"C1";"CA";"C10A";2011;2020
"0202 20 10";"Quartiers compensés de bovins, non-désossés, congelés";"1011";"101131";"C1";"CA";"C10A";"1011";"101131";"C1";"CA";"C10A";2006;2020
"0202 20 30";"Quartiers avant de bovins, attenants ou séparés, non-désossés, congelés";"1011";"101131";"C1";"CA";"C10A";"1011";"101131";"C1";"CA";"C10A";2006;2020
"0202 20 50";"Quartiers arrière de bovins, attenants ou séparés, non-désossés, congelés";"1011";"101131";"C1";"CA";"C10A";"1011";"101131";"C1";"CA";"C10A";2006;2020
"0202 20 90";"Viandes de bovins, non-désossées, congelées (à l'excl. des carcasses et demi-carcasses, des quartiers compensés et des quartiers avant et arrière)";"1011";"101131";"C1";"CA";"C10A";"1011";"101131";"C1";"CA";"C10A";2006;2020
"0202 30 10";"Quartiers avant de bovins, désossés, congelés, entiers ou découpés en cinq morceaux au maximum, chaque quartier avant étant présenté en un seul bloc de congélation, ou quartiers compensés présentés en deux blocs de congélation contenant, l'un, le quartier avant entier ou découpé en cinq morceaux au maximum et, l'autre, le quartier arrière, à l'excl. du filet, en un seul morceau";"1011";"101131";"C1";"CA";"C10A";"1011";"101131";"C1";"CA";"C10A";2006;2020
"0202 30 50";"Découpes de quartiers avant et de poitrines australiennes de bovins, désossées, congelées";"1011";"101131";"C1";"CA";"C10A";"1011";"101131";"C1";"CA";"C10A";2006;2020
"0202 30 90";"Viandes désossées de bovins, congelées (à l'excl. des quartiers avant entiers ou découpés en cinq morceaux au maximum, chaque quartier avant étant présenté en un seul bloc de congélation, ou quartiers compensés présentés en deux blocs de congélation contenant, l'un, le quartier avant entier ou découpé en cinq morceaux au maximum et, l'autre, le quartier arrière [sauf filet, en un seul morceau] ainsi que les découpes de quartiers avant et de poitrines australiennes)";"1011";"101131";"C1";"CA";"C10A";"1011";"101131";"C1";"CA";"C10A";2006;2020
"0203 11 10";"Carcasses ou demi-carcasses, de porcins domestiques, fraîches ou réfrigérées";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";2017;2020
"0203 11 90";"Carcasses ou demi-carcasses, de porcins non-domestiques, fraîches ou réfrigérées";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";1999;2020
"0203 12 11";"Jambons et morceaux de jambons, non-désossés, de porcins domestiques, frais ou réfrigérés";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";2006;2020
"0203 12 19";"Épaules et morceaux d'épaules, non-désossés, de porcins domestiques, frais ou réfrigérés";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";2006;2020
"0203 12 90";"Jambons, épaules et leurs morceaux, non-désossés, de porcins non-domestiques, frais ou réfrigérés";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";1993;2020
"0203 19 11";"Parties avant et morceaux de parties avant, de porcins domestiques, frais ou réfrigérés";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";1993;2020
"0203 19 13";"Longes et morceaux de longes, de porcins domestiques, frais ou réfrigérés";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";1993;2020
"0203 19 15";"Poitrines [entrelardés] et morceaux de poitrines, de porcins domestiques, frais ou réfrigérés";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";1993;2020
"0203 19 55";"Viandes désossées de porcins domestiques, fraîches ou réfrigérées (à l'excl. des poitrines [entrelardés] et des morceaux de poitrines)";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";2012;2020
"0203 19 59";"Viandes non-désossées, de porcins domestiques, fraîches ou réfrigérées (à l'excl. des carcasses ou demi-carcasses, des jambons, épaules et leurs morceaux ainsi que des parties avant, longes, poitrines et leurs morceaux)";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";1994;2020
"0203 19 90";"Viandes de porcins non-domestiques, fraîches ou réfrigérées (à l'excl. des carcasses ou demi-carcasses et des jambons, épaules et leurs morceaux, non-désossés)";"1011";"101112";"C1";"CA";"C10A";"1011";"101112";"C1";"CA";"C10A";1994;2020
"0203 21 10";"Carcasses ou demi-carcasses, de porcins domestiques, congelées";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";1993;2020
"0203 21 90";"Carcasses ou demi-carcasses, de porcins non-domestiques, congelées";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";2011;2020
"0203 22 11";"Jambons et morceaux de jambons, non-désossés, de porcins domestiques, congelés";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";2011;2020
"0203 22 19";"Épaules et morceaux d'épaules, non-désossés, de porcins domestiques, congelés";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";1993;2020
"0203 22 90";"Jambons, épaules et leurs morceaux, non-désossés, de porcins non-domestiques, congelés";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";1993;2020
"0203 29 11";"Parties avant et morceaux de parties avant, de porcins domestiques, congelés";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";2011;2020
"0203 29 13";"Longes et morceaux de longes, de porcins domestiques, congelés";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";2011;2020
"0203 29 15";"Poitrines [entrelardés] et morceaux de poitrines, de porcins domestiques, congelés";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";1995;2020
"0203 29 55";"Viandes désossées de porcins domestiques, congelées (à l'excl. des poitrines [entrelardés] et des morceaux de poitrines)";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";2011;2020
"0203 29 59";"Viandes non-désossées, de porcins domestiques, congelées (à l'excl. des carcasses et demi-carcasses, des jambons, épaules et leurs morceaux ainsi que des parties avant, longes, poitrines [entrelardés] et leurs morceaux)";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";1995;2020
"0203 29 90";"Viandes de porcins non-domestiques, congelées (à l'excl. des carcasses et demi-carcasses ainsi que des jambons, épaules et leurs morceaux, non-désossés)";"1011";"101132";"C1";"CA";"C10A";"1011";"101132";"C1";"CA";"C10A";2011;2020
"0204 10 00";"Carcasses ou demi-carcasses, d'agneaux, fraîches ou réfrigérées";"1011";"101113";"C1";"CA";"C10A";"1011";"101113";"C1";"CA";"C10A";2017;2020
"0204 21 00";"Carcasses ou demi-carcasses, d'ovins, fraîches ou réfrigérées (à l'excl. des carcasses ou demi-carcasses d'agneaux)";"1011";"101113";"C1";"CA";"C10A";"1011";"101113";"C1";"CA";"C10A";1999;2020
"0204 22 10";"Casques ou demi-casques, d'ovins, frais ou réfrigérés";"1011";"101113";"C1";"CA";"C10A";"1011";"101113";"C1";"CA";"C10A";2006;2020
"0204 22 30";"Carrés et/ou selles ou demi-carrés et/ou demi-selles, d'ovins, frais ou réfrigérés";"1011";"101113";"C1";"CA";"C10A";"1011";"101113";"C1";"CA";"C10A";2006;2020
"0204 22 50";"Culottes ou demi-culottes, d'ovins, fraîches ou réfrigérées";"1011";"101113";"C1";"CA";"C10A";"1011";"101113";"C1";"CA";"C10A";2006;2020
"0204 22 90";"Viandes non-désossées, d'ovins, fraîches ou réfrigérées (à l'excl. des carcasses ou demi-carcasses, des casques ou demi-casques, des carrés et/ou selles ou demi-carrés et/ou demi-selles ainsi que des culottes ou demi-culottes)";"1011";"101113";"C1";"CA";"C10A";"1011";"101113";"C1";"CA";"C10A";1993;2020
"0204 23 00";"Viandes désossées, d'ovins, fraîches ou réfrigérées";"1011";"101113";"C1";"CA";"C10A";"1011";"101113";"C1";"CA";"C10A";2017;2020
"0204 30 00";"Carcasses ou demi-carcasses, d'agneaux, congelées";"1011";"101133";"C1";"CA";"C10A";"1011";"101133";"C1";"CA";"C10A";1993;2020
"0204 41 00";"Carcasses ou demi-carcasses, d'ovins (à l'excl. des carcasses ou demi-carcasses d'agneaux), congelées";"1011";"101133";"C1";"CA";"C10A";"1011";"101133";"C1";"CA";"C10A";1993;2020
"0204 42 10";"Casques ou demi-casques, d'ovins, congelés";"1011";"101133";"C1";"CA";"C10A";"1011";"101133";"C1";"CA";"C10A";1993;2020
"0204 42 30";"Carrés et/ou selles ou demi-carrés et/ou demi-selles, d'ovins, congelés";"1011";"101133";"C1";"CA";"C10A";"1011";"101133";"C1";"CA";"C10A";1993;2020
"0204 42 50";"Culottes ou demi-culottes, d'ovins, congelées";"1011";"101133";"C1";"CA";"C10A";"1011";"101133";"C1";"CA";"C10A";2007;2020
"0204 42 90";"Morceaux non-désossés, d'ovins, congelés (à l'excl. des carcasses ou demi-carcasses, des casques ou demi-casques, des carrés et/ou selles ou demi-carrés et/ou demi-selles ainsi que des culottes ou demi-culottes)";"1011";"101133";"C1";"CA";"C10A";"1011";"101133";"C1";"CA";"C10A";1993;2020
"0204 43 10";"Viandes désossées d'agneau, congelées";"1011";"101133";"C1";"CA";"C10A";"1011";"101133";"C1";"CA";"C10A";1993;2020
"0204 43 90";"Viandes désossées d'ovins, congelées (à l'excl. des viandes d'agneau)";"1011";"101133";"C1";"CA";"C10A";"1011";"101133";"C1";"CA";"C10A";1993;2020
"0204 50 11";"Carcasses ou demi-carcasses, de caprins, fraîches ou réfrigérées";"1011";"101114";"C1";"CA";"C10A";"1011";"101114";"C1";"CA";"C10A";2006;2020
"0204 50 13";"Casques ou demi-casques, de caprins, frais ou réfrigérés";"1011";"101114";"C1";"CA";"C10A";"1011";"101114";"C1";"CA";"C10A";2006;2020
"0204 50 15";"Carrés et/ou selles ou demi-carrés et/ou demi-selles, de caprins, frais ou réfrigérés";"1011";"101114";"C1";"CA";"C10A";"1011";"101114";"C1";"CA";"C10A";2006;2020
"0204 50 19";"Culottes ou demi-culottes, de caprins, fraîches ou réfrigérées";"1011";"101114";"C1";"CA";"C10A";"1011";"101114";"C1";"CA";"C10A";2006;2020
"0204 50 31";"Morceaux non-désossés, de caprins, frais ou réfrigérés (à l'excl. des carcasses ou demi-carcasses, des casques ou demi-casques, des carrés et/ou selles ou demi-carrés et/ou demi-selles ainsi que des culottes ou demi-culottes)";"1011";"101114";"C1";"CA";"C10A";"1011";"101114";"C1";"CA";"C10A";2006;2020
"0204 50 39";"Morceaux désossés, de caprins, frais ou réfrigérés";"1011";"101114";"C1";"CA";"C10A";"1011";"101114";"C1";"CA";"C10A";2017;2020
"0204 50 51";"Carcasses ou demi-carcasses, de caprins, congelées";"1011";"101134";"C1";"CA";"C10A";"1011";"101134";"C1";"CA";"C10A";1993;2020
"0204 50 53";"Casques ou demi-casques, de caprins, congelés";"1011";"101134";"C1";"CA";"C10A";"1011";"101134";"C1";"CA";"C10A";1993;2020
"0204 50 55";"Carrés et/ou selles ou demi-carrés et/ou demi-selles, de caprins, congelés";"1011";"101134";"C1";"CA";"C10A";"1011";"101134";"C1";"CA";"C10A";1993;2020
"0204 50 59";"Culottes ou demi-culottes, de caprins, congelées";"1011";"101134";"C1";"CA";"C10A";"1011";"101134";"C1";"CA";"C10A";1993;2020
"0204 50 71";"Morceaux non-désossés, de caprins, congelés (à l'excl. des carcasses ou demi-carcasses, des casques ou demi-casques, des carrés et/ou selles ou demi-carrés et/ou demi-selles ainsi que des culottes ou demi-culottes)";"1011";"101134";"C1";"CA";"C10A";"1011";"101134";"C1";"CA";"C10A";1993;2020
"0204 50 79";"Morceaux désossés, de caprins, congelés";"1011";"101134";"C1";"CA";"C10A";"1011";"101134";"C1";"CA";"C10A";1993;2020
"0205 00 20";"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches ou réfrigérées";"1011";"101115";"C1";"CA";"C10A";"1011";"101115";"C1";"CA";"C10A";2007;2020
"0205 00 80";"Viandes des animaux des espèces chevaline, asine ou mulassière, congelées";"1011";"101135";"C1";"CA";"C10A";"1011";"101135";"C1";"CA";"C10A";1993;2020
"0206 10 10";"Abats comestibles de bovins, destinés à la fabrication de produits pharmaceutiques, frais ou réfrigérés";"1011";"101120";"C1";"CA";"C10A";"1011";"101120";"C1";"CA";"C10A";2006;2020
