"Etablissement";"Siren";"Site";"Site non-trouve";"Categories";"Categorie-2";"Categorie-3";"Categorie-4";"Categorie-5";"Categorie-6";"Categorie-7";"Categorie-8";"Entreprise-de-servicesde-logistique";"Aucune-categorie"
"MAISON BLEUE";430047530;"https://www.la-maison-bleue.fr/";;;;;;;;;;1;
"EUROVIA MANAGEMENT";409526167;"https://www.eurovia.fr/";;;;;;;;;;1;
"CRONITE MANCELLE";575450051;"https://www.cronite-group.com/";;4819;;;;;;;;;
"FIMUREX MANCELLES";577150345;"https://www.armasol.com/53-14-180-fimurex-mancelles.html";;;;;;;;;;1;
"MANITOU BF";857802508;"https://www.manitou-group.com/fr/";;4011;8428;;;;;;;;
"MANITOU BF";857802508;"https://www.manitou-group.com/fr/";;;;;;;;;;1;
"MANN HUMMEL FRANCE";428610547;"https://www.mann-hummel.com/en.html";;3926;;;;;;;;;
"COLART LE MANS";576650394;"https://www.colart.com/fr/our-story/contact/";;3208;;;;;;;;;
"GRUAU LE MANS";576450431;"https://www.gruau-lemans.com/";;8707;8702;8704;;;;;;;
"ALTIA LE MANS";521585265;;1;;;;;;;;;;
"MANUFACTURE FRANCAISE DU CYCLE";791771223;"https://www.mfdc.fr/entreprise/";;;;;;;;;;1;
"MANULATEX FRANCE";332107036;"https://www.manulatex.fr/";;;;;;;;;;1;
"GROUPE MARAIS";391233442;"https://www.samarais.com/fr/";;8532;9001;;;;;;;;
"ETABLISSEMENTS MARCEL BRAUD";869802249;"https://www.michel-nutrition.fr/filiales/ets-braud/44";;2309;;;;;;;;;
"MARIE";327280368;"https://www.marie.fr/";;2106;;;;;;;;;
"MARTIN-TECHNOLOGIES";667080188;"https://www.martintechnologies.fr/fr";;7410;;;;;;;;;
"MASER ENGINEERING";732050026;"https://maser-engineering.com/";;;;;;;;;;1;
"CHARIER CARRIERES ET MATERIAUX";347670150;"https://www.charier.fr/travaux-publics-bretagne-pays-de-loire/carrieres-recyclage-materiaux";;;;;;;;;;1;
"CHOCOLAT MATHEZ";392886982;"https://mathez.fr/";;1806;;;;;;;;;
"CHEVALIER MAURICE";338783616;;1;;;;;;;;;;
"FONDERIE MAYENNAISE";498140714;;1;;;;;;;;;;
"MC FRANCE";306865601;"http://www.mc-france.com/concept-bois-alu/";;4418;7610;;;;;;;;
"MCI";632017257;"http://mci.fr/";;;;;;;;;;1;
"MCPP FRANCE";63200604;"https://www.mcpp-global.com/fr/europe/";;;;;;;;;;1;
"MECACHROME FRANCE";429853351;"http://www.mecachrome.com/";;8805;;;;;;;;;
"FONDERIE MECANIQUE GEN CASTELBRIANTAISE";866801210;"https://www.farinia.com/fmgc";;8454;;;;;;;;;
"FABRICATIONS MECANIQUES DE L'ATLANTIQUE";321853798;"https://www.famat.fr/";;;;;;;;;;1;
"MECAPACK";692022643;"https://www.mecapack.fr/";;;;;;;;;;1;
"MECASOUD";341984367;"https://www.mecasoud.com/";;;;;;;;;;1;
"MECATHERM";676480049;"https://www.mecatherm.fr/en.html";;1905;;;;;;;;;
"AUBRON ET MECHINEAU";857800031;"https://aubron-mechineau.business.site/";;3824;;;;;;;;;
"BATISTYL MENUISERIES";408599975;"https://www.batistyl-habitat.fr/";;7610;;;;;;;;;
"JANNEAU MENUISERIES";326519717;"https://www.janneau.com/";;4418;;;;;;;;;
"MENUISERIES ELVA";341052686;"https://www.menuiseries-elva.fr/";;4419;;;;;;;;;
"MERAL";322697459;"https://sedac-meral.com/";;9403;;;;;;;;;
"MERCURA";310999891;"https://www.mercura.fr/";;8207;;;;;;;;;
"MERLIN GERIN LOIRE";322149329;"https://www.se.com/ww/en/";;;;;;;;;;1;
"MESSER FRANCE";300560588;"https://www.messer.fr/#:~:text=Messer%20France%2C%20producteur%20et%20distributeur,%C3%A9dition%20du%20salon%20Pharmatech%20Cosmetech";;2705;2710;;;;;;;;
"COMAT METAL INDUSTRIE";420288011;"https://www.comat.fr/comat-metal-industrie/";;7616;;;;;;;;;
"CONSTRUCTIONS METALLIQUES FLORENTAISES";343744041;"https://www.cmf-groupe.com/";;8202;;;;;;;;;
"BRIAND CONSTRUCTIONS METALLIQUES";308575158;"https://constructionmetal.groupebriand.fr/briand-construction-metallique/";;8202;;;;;;;;;
"ALLIANCE INDUSTRIELLE METALLURGIQUE DE LA MAYENNE";394499545;"https://www.aim-grp.fr/";;;;;;;;;;1;
"CASTLE METALS FRANCE";451325856;"https://www.castlemetals.com/about/companies/castl-metals-france";;7326;7616;7325;7508;;;;;;
"METASEVAL";399227925;"https://www.aim-grp.fr/";;;;;;;;;;1;
"MEUBLES GIRARDEAU";388963308;"https://www.girardeau.fr/";;9403;;;;;;;;;
"MFC";522957802;"https://www.mfdc.fr/entreprise/";;;;;;;;;;1;
"FLEURY MICHON LS";340545441;"https://www.fleurymichon.fr/";;;;;;;;;;1;
"FLEURY MICHON";572058329;"https://www.fleurymichon.fr/";;;;;;;;;;1;
"FLEURY MICHON LS";340545441;"https://www.fleurymichon.fr/";;;;;;;;;;1;
"FLEURY MICHON LS";340545441;"https://www.fleurymichon.fr/";;;;;;;;;;1;
"FLEURY MICHON LS";340545441;"https://www.fleurymichon.fr/";;210;;;;;;;;;
"MINCO";379966070;"https://www.minco.fr/";;4418;;;;;;;;;
"MINOTERIE GIRARDEAU";857802797;"https://www.minoterie-girardeau.com/en/";;1905;;;;;;;;;
"MITI";439549734;"https://www.glossaire-international.com/pages/tous-les-termes/miti.html";;;;;;;;;;1;
"MITSUBA MANUFACTURING FRANCE";382454155;"https://www.mitsuba.co.jp/";;8703;8711;;;;;;;;
"MIXSCIENCE";538829136;"https://www.mixscience.eu/";;;;;;;;;;1;
"ALKERN MLX";428219034;"https://www.alkern.fr/";;6810;;;;;;;;;
"MODEMA AGRI";443566385;"http://www.modema.fr/";;8201;;;;;;;;;
"MODEMA AGRI";443566385;"http://www.modema.fr/";;;;;;;;;;;1
"MODERNA FRANCE";546950718;"http://www.moderna.fr/";;6304;;;;;;;;;
"BODARD CONSTRUCTION MODULAIRE";301161659;"https://www.bodard-ouest.fr/";;;;;;;;;;1;
"MONBANA";562100032;"https://www.monbana.com/";;1806;;;;;;;;;
"MONNIER";478804289;"https://fr.monnierparis.com/";;6401;;;;;;;;;
"CONSTELLIUM MONTREUIL JUIGNE";712032705;"https://www.constellium.com/";;7616;;;;;;;;;
"MONTS FOURNIL";338298219;"https://www.lamiecaline.com/contact/";;;;;;;;;;1;
"MORILLON";432389658;"https://www.grand-massif.com/votre-destination/domaine-skiable/nos-stations/morillon/";;;;;;;;;;1;
"MPO FRANCE";412798373;"https://www.mpo-international.com/";;;;;;;;;;1;
"MSD ANIMAL HEALTH INNOVATION";418026670;"https://www.msd-animal-health.com/";;;;;;;;;;1;
"MTECHBUILD";814010187;"https://www.mtechbuild.fr/";;;;;;;;;;1;
"GROUPE MULLIEZ-FLORY - GMF";308054410;"https://www.mulliez-flory.fr/en/";;6108;;;;;;;;;
"MULTILAQUE";343171781;"https://multilaque.fr/";;;;;;;;;;1;
"MYSCRIPT";419963806;"https://www.myscript.com/fr/";;8442;8443;;;;;;;;
"LES COTEAUX NANTAIS";351421037;"https://www.coteaux-nantais.com/fr";;808;809;810;;;;;;;
"ATELIERS NANTAIS DE MAROQUINERIE";408689396;"https://maroquineriefrancaise.com/";;4202;;;;;;;;;
"NANTAISE DES EAUX";450940325;"http://www.ndei.fr/";;;;;;;;;;1;
"NANTES METROPOLE GESTION EQUIPEMENTS";308128354;"https://www.nge-nantes.fr/";;;;;;;;;;1;
"NATINOV";438779365;"https://www.natinov.com/";;3301;3004;;;;;;;;
"NAVAL GROUP";441133808;"https://www.naval-group.com/fr";;;;;;;;;;1;
"ALUBAT CHANTIER NAVAL";799089750;"https://www.alubat.fr/";;8905;;;;;;;;;
"NAVILINE INDUSTRIES";523154763;"https://www.malvaux.commentions-legales/";;;;;;;;;;1;
"NCI ENVIRONNEMENT";317428233;"http://www.nci-environnement.com/";;;;;;;;;;1;
"DELTA NEO";344844337;"https://www.deltaneo.com/";;;;;;;;;;1;
"NEOA";419091095;"https://www.neoa.eu/produits/";;;;;;;;;;;1
"NEOA";419091095;"https://www.neoa.eu/";;;;;;;;;;1;
"NEOFORM INDUSTRIES";347684102;"https://www.ameublement.com/cotraitance/neoform-industries";;3921;6304;;;;;;;;
"NGK BERYLCO FRANCE";712053412;"http://www.ngk-alloys.com/fr/index.html";;;;;;;;;;1;
"FIBERTEX NONWOVENS";301765798;"https://www.fibertex.com/";;;;;;;;;;1;
"MEDIA 6 ATELIERS NORMAND";484253695;"https://www.google.com/search?q=MEDIA+6+ATELIERS+NORMAND&client=ms-android-samsung-gj-rev1&sourceid=chrome-mobile&ie=UTF-8";;6304;;;;;;;;;
"ATELIERS NORMAND";379933492;"http://www.lateliernormand.fr/";;;;;;;;;;1;
"NORPAPER NANTES";508149853;"http://www.norpaper.com/site-nantes/";;4804;;;;;;;;;
"NOURI'VRAI";323505255;"http://www.richard.fr/";;2204;;;;;;;;;
"NOV BLM";712008580;"https://www.nov.com/";;8427;8428;;;;;;;;
"NOVA";431663806;"https://www.nova.fr/";;;;;;;;;;1;
"NOVAR FRANCE";428737605;;1;;;;;;;;;;
"NOVOFERM FRANCE";450301486;"https://www.novoferm.fr/";;7308;7610;;;;;;;;
"AREVA NP";428764500;"https://www.sa.areva.com/";;3602;;;;;;;;;
"NUTRI-VENDEE";399819895;"https://www.coop-cavac.fr/";;105;;;;;;;;;
"ARRIVE NUTRITION ANIMALE";484621610;"https://www.nutriciab.fr/nutrition-ana";;2309;;;;;;;;;
"ANTIGNY NUTRITION";447868977;"https://www.coop-cavac.fr/entites-marques/antigny-nutrition/";;;;;;;;;;1;
"O'GUSTE";402574560;"https://www.o-guste.com/";;210;;;;;;;;;
"INTERTEK OCA FRANCE";420608341;"http://www.intertek.com/";;;;;;;;;;1;
"OCCAMAT";328517651;"https://www.occamat.net/";;8432;;;;;;;;;
"OCCAMIANTE";418552394;"https://www.ceoccamiante.fr/";;;;;;;;;;1;
"OCEA";340889476;"https://www.ocea.fr/";;8905;;;;;;;;;
"OCEA";340889476;"https://www.ocea.fr/";;;;;;;;;;1;
"FERMETURES LOIRE OCEAN";392647517;"https://www.flo-fermetures.fr/";;;;;;;;;;1;
"CEGELEC LOIRE OCEAN";537916165;"https://www.cegelec-pays-de-la-loire.fr/fr/cegelec-loire-ocean-logement";;;;;;;;;;1;
"LES OEUFS GESLIN";353610702;"https://www.lesoeufsgeslin.fr/";;407;;;;;;;;;
"IMPRIMERIE OFFSET 5 EDITION";390707594;"https://www.offset5.com/";;4802;;;;;;;;;
"FINANCIERE DE L OMBREE";413101957;"https://www.eolane.com/fr";;;;;;;;;;1;
"ONESIKKS";798998670;;1;;;;;;;;;;
"AIRBUS OPERATIONS";420916918;"https://www.airbus.com/en";;;;;;;;;;1;
"AIRBUS OPERATIONS";420916918;"https://www.airbus.com/en";;8802;8805;;;;;;;;
"ORE";385327812;"https://www.geveko-markings.fr/batiment";;3208;;;;;;;;;
"ORTEC ENVIRONNEMENT";389675018;"https://ortec-group.com/expertises/global-services/services-environnement/";;;;;;;;;;1;
"OSE";338131089;;1;;;;;;;;;;
"AD GRAND OUEST";775609431;"https://www.autodistribution.fr/";;6813;8421;;;;;;;;
"LHOIST FRANCE OUEST";816020283;"https://www.lhoist.com/fr_fr";;;;;;;;;;1;
"OUEST BOULANGERE";421284415;"https://www.laboulangere.com/";;1905;;;;;;;;;
"OUEST AGRI DEVELOPPEMENT";304044829;"http://www.ouestagri.fr/Mobile/index.php";;8432;;;;;;;;;
"COLAS CENTRE OUEST";329338883;"https://www.colas.com/fr/";;8432;;;;;;;;;
"EUROFINS LABORATOIRES DE MICROBIOLOGIE OUEST";492441001;"https://www.eurofins.fr/";;;;;;;;;;1;
"COLAS CENTRE OUEST";329338883;"https://www.colas.com/fr";;8432;;;;;;;;;
"COLAS CENTRE OUEST";329338883;"https://www.colas.com/fr";;;;;;;;;;1;
"OUEST ACRO";388343105;"https://www.ouestacro.fr/";;;;;;;;;;1;
"BOUYGUES BATIMENT GRAND OUEST";321006892;"https://www.bouygues-batiment-grand-ouest.fr/";;;;;;;;;;1;
"GARANKA NORD OUEST";325338333;"https://www.garanka.fr/";;;;;;;;;;1;
"ALTEAD OUEST LEVAGE MANUTENTION";491800561;"https://www.altead.com/";;8202;;;;;;;;;
"ATLANTIQUE OUVERTURES";337884647;"https://www.atlantiqueouvertures.com/";;;;;;;;;;1;
"OUVRARD";317684371;"https://www.ouvrard.com/";;8436;;;;;;;;;
"OUVRARD";317684371;"https://www.ouvrard.com/";;8432;;;;;;;;;
"OUVRARD";317684371;"https://www.ouvrard.com/";;8701;;;;;;;;;
"OUVRARD";317684371;"https://www.ouvrard.com/";;8201;;;;;;;;;
"OUVRARD";317684371;"https://www.ouvrard.com/";;8201;;;;;;;;;
"OVOTEAM";484918362;"https://www.ovoteam.net/fr";;3101;3102;;;;;;;;
"PACK ALIM";452772932;"https://www.packalim.fr/";;4819;;;;;;;;;
"PACK'R";351580238;"https://www.packr.com/";;;;;;;;;;1;
"CAN PACKAGING";351512223;"https://victoroscarcompany.com/phone/index.html";;4819;;;;;;;;;
"LINPAC PACKAGING DALIDET";557250487;;1;;;;;;;;;;
"AR PACKAGING CHOLET";552037384;"https://www.ar-packaging.com/";;4819;;;;;;;;;
"ETUDE CONDITIONNEMENT PALETTISATION";318301652;;1;;;;;;;;;;
"ARJOWIGGINS PAPIERS COUCHES";393361134;;1;;;;;;;;;;
"PAPREC GRAND-OUEST";381830850;"https://www.paprec.com/fr/";;;;;;;;;;1;
"PAPREC CRV";317428233;"https://www.paprec.com/fr/connaitre-le-groupe/organisation-et-implantations/nos-marques-2/";;;;;;;;;;1;
"PAPREC CRV";317428233;"https://www.paprec.com/fr/connaitre-le-groupe/organisation-et-implantations/nos-marques-2/";;;;;;;;;;1;
"PARADE";312911902;"https://www.parade-protection.com/fr/";;6401;;;;;;;;;
"JOSEPH PARIS";866800550;"https://www.joseph.paris/";;8302;;;;;;;;;
"PARTEDIS BOIS MATERIAUX";55201123;"https://bois-materiaux.partedis.com/";;4418;;;;;;;;;
"PARTEDIS BOIS MATERIAUX";55201123;"https://bois-materiaux.partedis.com/";;4418;;;;;;;;;
"PARTENIA";429200314;"http://www.partenia-plast.com/";;3925;;;;;;;;;
"PASO";449419951;"https://www.paso-traiteur.com/";;1905;;;;;;;;;
"BISCOTTE PASQUIER";775609290;"https://www.pasquier.fr/fr/categories-et-gammes-de-produits/biscottes-et-croustillants";;1906;;;;;;;;;
"BISCOTTE PASQUIER";775609290;"https://www.pasquier.fr/fr/categories-et-gammes-de-produits/biscottes-et-croustillants/biscottes";;1905;;;;;;;;;
"PASQUIER";329263933;"https://www.pasquier.fr/";;;;;;;;;;1;
"BISCOTTE PASQUIER";775609290;"https://www.pasquier.fr/fr/categories-et-gammes-de-produits/biscottes-et-croustillants/biscottes";;1905;;;;;;;;;
"BRIOCHE PASQUIER CERQUEUX";305119125;"https://www.pasquier.fr/";;1905;;;;;;;;;
"PATISSERIE PASQUIER CERQUEUX";378339063;"https://www.pasquier.fr/";;1905;;;;;;;;;
"PATISSERIES GOURMANDES";302476106;"https://www.patisseriesgourmandes.com/";;1905;;;;;;;;;
"BETON INDUSTRIEL DES PAYS DE MONTS";330119819;"https://betonindustrieldespaysdemonts.site-solocal.com/";;6810;;;;;;;;;
"PBM INDUSTRIE";418656153;"https://pbm.fr/";;2516;2517;;;;;;;;
"PCM EUROPE";803933472;"https://www.pcm.eu/en";;8207;;;;;;;;;
"PDM INDUSTRIES";399311745;"https://pdmind.com/";;3925;;;;;;;;;
"ATELIERS PERRAULT FRERES";61201083;"http://ateliersperrault.com/";;4418;;;;;;;;;
"FROMAGERIES PERREAULT";316085620;;1;;;;;;;;;;
"FROMAGERIES PERREAULT";316085620;;1;;;;;;;;;;
"ADEMI PESAGE";395056310;"https://www.ademi-pesage.com/";;;;;;;;;;1;
"ATM PETFOOD";807945928;"https://groupdepre.com/fr/atm-petfood/";;2309;;;;;;;;;
"PETROSERVICES";349368670;"https://www.petroservices.fr/fr/";;;;;;;;;;1;
"PHYTEUROP";666580352;"https://www.phyteurop.com/fr/";;3825;;;;;;;;;
"GROUPE PILARDIERE";431896455;"https://www.pilardiere.eu/";;2309;;;;;;;;;
"PINDIERE FRANCE";479269938;"https://www.pindiere.fr/en/home/";;6401;;;;;;;;;
"CONFISERIE PINSON";392096418;"https://confiseriepinson.fr/";;1806;;;;;;;;;
"PITOIS INVEST";316537455;;1;;;;;;;;;;
"PIVETEAU BOIS";547250100;"https://www.piveteaubois.com/fr/";;4407;;;;;;;;;
"MINOTERIE PLANCHOT";444881494;"https://www.minoterie-planchot.com/accueil.html";;1905;;;;;;;;;
"MINOTERIE PLANCHOT";444881494;"https://www.minoterie-planchot.com/accueil.html";;1101;;;;;;;;;
"PLASTIC OMNIUM AUTO INERGY FRANCE";519512453;"https://www.plasticomnium.com/en/";;;;;;;;;;1;
"PLASTICON FRANCE";546150053;"https://www.pfacomposites.com/";;3925;;;;;;;;;
"PLASTIMA COMPOSITES";535215321;"https://www.plastima.fr/";;8708;;;;;;;;;
"MOULAGES PLASTIQUES DU MIDI";600801468;"http://www.mpm.fr/";;3925;;;;;;;;;
"ABRI PLUS EQUIPEMENTS";402533707;"https://www.abri-plus.com/";;;;;;;;;;1;
"MP3 PLV";819871716;"http://www.mp3plv.fr/";;;;;;;;;;1;
"MANUF FRANC PNEUMATIQ MICHELIN";855200507;"https://www.michelin.fr/";;;;;;;;;;1;
"MANUF FRANC PNEUMATIQ MICHELIN";855200507;"https://www.michelin.com/";;;;;;;;;;1;
"IMPRIMERIE POLLINA";314911827;"http://www.pollina-imp.fr/";;4802;;;;;;;;;
"POLYSOUDE";858800931;"https://www.polysoude.com/";;;;;;;;;;1;
"POMONE";344582812;"https://www.pomone-sas.fr/en/";;1905;;;;;;;;;
"A.S. POOL";400916979;"https://www.asppoolco.com/";;3825;;;;;;;;;
"DANISH CROWN DIVISION PORC";351722202;"https://www.danishcrown.com/en-gb/";;210;;;;;;;;;
"HOLVIA PORC";510408230;"https://www.terrena.fr/holvia-porc/";;210;;;;;;;;;
"HOLVIA PORC";510408230;"https://www.terrena.fr/holvia-porc/";;208;;;;;;;;;
"CHAUVAT PORTES";804138659;"https://www.chauvatportes.com/";;7308;;;;;;;;;
"POSITIF";383625696;;1;;;;;;;;;;
"POSSON PACKAGING";577250087;"https://www.posson.fr/";;3703;;;;;;;;;
"POUPIN";322960238;"https://www.poupin.fr/";;4418;;;;;;;;;
"POUPIN";322960238;"https://www.poupin.fr/";;3925;;;;;;;;;
"COMPOSANTS ARCHITECTURAUX INDUSTRIALISES POUR LE BATIMENT";330630872;;1;;;;;;;;;;
"CORNING POUYET";642024343;"https://www.corning.com/emea/fr/careers/locations/France/locations-in-france/pontchateau.html";;8535;;;;;;;;;
"ATELIER MECANIQUE DE PRECISION MOTHAIS";381383777;"https://ampm-meca.fr/fr/";;;;;;;;;;1;
"BESNE MECANIQUE DE PRECISION";479357329;"http://www.bene-solutions.com/en/home-page/";;;;;;;;;;1;
"PREFA DES PAYS DE LOIRE";546450214;"https://www.edycem-ppl.fr/";;;;;;;;;;1;
"JOUSSELIN PREFABRICATION";441304086;"https://www.jousselin-prefabrication.com/";;6810;;;;;;;;;
"PRIMA - PREFABR INDUSTR MENUISERIES ALU";408127553;;1;;;;;;;;;;
"PRIVAT BATI-CONCEPT";399241462;"https://www.maisons-privat.fr/";;;;;;;;;;1;
"PROCAR-DEMAS";327667358;"https://www.procar-demas.fr/";;8707;;;;;;;;;
"ANJOU PROCESS ENERGIES";414761361;"http://www.vinci-energies.com/en";;;;;;;;;;1;
"PROCESS";378906671;"http://www.processmining.org/";;3923;;;;;;;;;
"PRODIA OUEST";379437031;"https://www.prodia.fr/fr/";;;;;;;;;;1;
"COOPERATIVE DES PRODUCTEURS LEGUMIERS";321326555;"https://www.roseedeschamps.fr/";;710;;;;;;;;;
"NWL FRANCE PRODUCTION";535406433;;1;;;;;;;;;;
"FROMAGERIES BEL PRODUCTION FRANCE";493371595;"https://www.groupe-bel.com/fr/";;406;;;;;;;;;
"FROMAGERIES BEL PRODUCTION FRANCE";493371595;"https://www.groupe-bel.com/fr/";;406;;;;;;;;;
"OUEST PRODUCTION";322522368;;1;;;;;;;;;;
"FROMAGERIES BEL PRODUCTION FRANCE";493371595;"https://www.groupe-bel.com/fr/";;408;;;;;;;;;
"ATLANTIQUE PRODUCTIONS";301669693;"https://www.atlantique-productions.fr/";;;;;;;;;;1;
"PRODUITS CHIMIQUES DE LUCETTE";434186557;"https://www.pcdlucette.com/";;;;;;;;;;1;
"PROGINOV";403503741;"https://www.proginov.com/";;;;;;;;;;1;
"PROMOTAL";421156720;"https://www.promotal.com/fr/";;9018;;;;;;;;;
"PRUNIER";349050021;"https://www.prunier.fr/";;208;;;;;;;;;
"ARTEC PULVERISATION";483391504;"http://www.artec-pulverisation.com/";;8432;8701;;;;;;;;
"PUSTERLA 1880 FRANCE";328920210;"https://www.pusterla1880.com/fr/home-pusterla-fr/";;3703;;;;;;;;;
"QUADIENT INDUSTRIE FRANCE";440736080;"https://www.quadient.com/fr-FR/communication-intelligente/entreprises/industrie";;8443;;;;;;;;;
"QUALICONSULT";401449855;"https://www.groupe-qualiconsult.fr/";;;;;;;;;;1;
"QUALICONSULT";401449855;"https://www.groupe-qualiconsult.fr/";;;;;;;;;;1;
"QUALICONSULT EXPLOITATION";442848925;"https://www.groupe-qualiconsult.fr/nos-filiales/";;;;;;;;;;1;
"EUROFINS PHARMA QUALITY CONTROL";393465778;"https://www.eurofins.com/biopharma-services/";;;;;;;;;;1;
"QUIETALIS";498721067;"https://www.quietalis.com/";;;;;;;;;;1;
"QUILLARD ET FILS";320153349;"https://www.jean-floch.com/fr";;1601;;;;;;;;;
"RABAS";322053877;"http://www.rabas.fr/";;;;;;;;;;1;
"RABAUD";321278400;"https://www.rabaud.com/fr";;8433;;;;;;;;;
"RACCORDS ET PLASTIQUES NICOLL";60200128;"https://www.nicoll.fr/fr";;;;;;;;;;1;
"RAPIDHOME";312576846;"https://www.rapidhome.fr/";;4418;;;;;;;;;
"RAPIDO";302279229;"https://www.rapido.fr/";;8703;;;;;;;;;
"RBL PLASTQUES";378714497;"https://www.rbl.fr/en/home/";;3925;;;;;;;;;
"RBL-REI";305461063;"http://www.rblrei-france.com/en/";;;;;;;;;;1;
"RCA REALISATIONS POUR LA COMPTABILITE ETL AUDIT";418348231;;1;;;;;;;;;;
"INSTITUT DE RECHERCHE BIOLOGIQUE - IRB";315249821;"https://havea.com/";;2104;;;;;;;;;
"BRANGEON RECYCLAGE";62200753;"https://www.brangeon.fr/";;;;;;;;;;1;
"PASSENAUD RECYCLAGE";412242315;"https://passenaud.fr/";;;;;;;;;;1;
"AXIMA REFRIGERATION FRANCE";440267177;"https://www.equans.fr/nos-metiers/axima-refrigeration-france/refrigeration";;;;;;;;;;1;
"GEA REFRIGERATION FRANCE";855801825;"https://www.gea.com/en/index.jsp";;;;;;;;;;1;
"EXPLEO REGIONS";352268973;;1;;;;;;;;;;
"REINAL";448571265;"http://reinal.fr/";;8463;;;;;;;;;
"CLS REMY COINTREAU";434831335;"https://www.remy-cointreau.com/fr/";;2207;;;;;;;;;
"ETABLISSEMENT GEORGES RENAULT";856801683;"https://www.desouttertools.com/";;;;;;;;;;1;
"ESPRI RESTAURATION";343397782;"https://www.espri-restauration.fr/";;1601;1905;209;305;;;;;;
"PRODUITS DE REVETEMENT DU BATIMENT";303789127;"https://www.batiweb.com/fabricant/prb-produits-de-revetement-du-batiment-58181";;3208;;;;;;;;;
"REY EMBALLAGES";410062558;"http://rey-emballages.edan.io/";;4819;;;;;;;;;
"ALU RIDEAU";313842189;"https://www.gustaverideau.com/";;7616;;;;;;;;;
"MOBIL-HOME RIDEAU";423762004;"https://www.mobilhome-rideau.com/";;6304;;;;;;;;;
"MOULINS RIOUX";311491609;"https://www.moulinsrioux.com/";;1905;;;;;;;;;
"RIVARD";667280143;"https://www.rivard-international.com/";;8707;;;;;;;;;
"CONSTRUCTIONS MECANIQUES AUTOMAT RIVARD";338714439;"http://www.cmar.fr/welcome.php";;;;;;;;;;1;
"CETIH ROANNE";311584718;"https://www.cetih.eu/";;;;;;;;;;1;
"CAVE ROBERT ET MARCEL";786195859;"https://www.robertetmarcel.com/en/";;2204;;;;;;;;;
"ETABLISSEMENTS ROBERT";405324666;"https://www.ets-robert-chaudronnerie-28.com/";;7214;;;;;;;;;
"CAILLES ROBIN";316673987;"https://www.cailles-robin.fr/";;208;;;;;;;;;
"CRISTAL ROC";576750582;;1;;;;;;;;;;
"HUHTAMAKI LA ROCHELLE";546450453;"https://www.fiber.huhtamaki.com/";;4819;;;;;;;;;
"RONDEAU FRERES";314901984;"http://www.rondeau.fr/";;8473;;;;;;;;;
"CORLET ROTO";395245814;"https://corlet.fr/en/homepage/";;;;;;;;;;1;
"CHARPENTE MENUISERIE ROUSSEAU";302004460;"https://www.rousseausa.fr/";;4418;;;;;;;;;
"CODES ROUSSEAU";486580210;"https://public.codesrousseau.fr/";;;;;;;;;;1;
"ATLAN ' ROUTE";430066530;"https://www.atlanroute.fr/";;;;;;;;;;1;
"JEAN ROUTHIAU";312613920;"https://www.jean-routhiau.fr/en/";;1905;;;;;;;;;
"CABINET ROUX";345375604;"https://www.cabinet-roux.com/";;;;;;;;;;1;
"ROYER LICENCES";313966301;"http://www.grouperoyer.com/fr/nos-expertises-business/licences-et-partenariats";;;;;;;;;;1;
"COEXPAN FRANCE S.A.";333784155;"https://fr.kompass.com/c/coexpan-france-s-a/fr8161856/";;;;;;;;;;1;
"S.A.D.E.V.";323540641;"https://www.sadev-tm.com/";;8473;;;;;;;;;
"KUHN - HUARD S.A.S";340636158;"https://www.kuhn.com/fr";;8433;;;;;;;;;
"DADAUX S.A.S";333076248;"https://dadaux.com/";;8439;;;;;;;;;
"GROUPE MEAC S.A.S.";775576036;"https://www.meac.fr/";;;;;;;;;;1;
"CARRE S.A.S.";546540709;"https://www.carre.fr/";;8433;;;;;;;;;
"ATLAN S.A.S.";441862091;"http://www.atlan.fr/";;3925;;;;;;;;;
"S.P.O.";556750248;;1;;;;;;;;;;
"S.T.A.M. - POIRAUD";547350017;;1;;;;;;;;;;
"S20 INDUSTRIES";801871948;"http://www.s20industries.fr/";;8475;;;;;;;;;
"SA RENOVAL";328051057;"https://www.renoval-veranda.com/solutions/veranda/";;7308;;;;;;;;;
"ETABLISSEMENTS BOULANGER SA";314749888;"https://www.boulanger-sa.com/";;3923;;;;;;;;;
"HUVEPHARMA SA";350019261;"https://www.huvepharma.com/";;;;;;;;;;1;
"SA RENOVAL";328051057;"https://www.renoval-veranda.com/renoval/";;2516;2517;;;;;;;;
"CROWN EMBALLAGE FRANCE SA";954200838;;1;;;;;;;;;;
"RESISTUB SA";486780216;"https://www.resistub-productions.com/fr/";;9403;;;;;;;;;
"ADINE SA";311795249;"https://groupe-adine.com/";;3703;;;;;;;;;
"SA APLIX";582145470;"https://www.aplix.com/en";;6111;;;;;;;;;
"KAWNEER FRANCE SA";338431927;"https://www.kawneer.com/kawneer/france/fr/info_page/home.asp";;2601;;;;;;;;;
"GKN DRIVELINE SA";559801675;"https://www.gknautomotive.com/";;;;;;;;;;1;
"ETABLISSEMENTS BAIZET SA";303512818;"https://www.atelier-baizet.com/";;6101;6103;6111;;;;;;;
"CAP INGELEC SA";384326468;"https://www.capingelec.com/";;;;;;;;;;1;
"EGIS EAU SA";493378038;"https://www.egis-group.com/fr/activites/eau";;;;;;;;;;1;
"SA BOUGIES LA FRANCAISE";778126045;"https://www.bougieslafrancaise.com/";;;;;;;;;;1;
