"ligne";"Code";" Intitulés de la  NAF rév. 2, version finale ";"Intitulés NAF rév. 2, 
en 65 caractères";"Intitulés NAF rév. 2, 
en 40 caractères"
211;"10.51A";"Fabrication de lait liquide et de produits frais";"Fabrication de lait liquide et de produits frais";"Fab. de lait liquide & de produits frais"
212;"10.51B";"Fabrication de beurre";"Fabrication de beurre";"Fabrication de beurre"
213;"10.51C";"Fabrication de fromage";"Fabrication de fromage";"Fabrication de fromage"
214;"10.51D";"Fabrication d'autres produits laitiers";"Fabrication d'autres produits laitiers";"Fabrication d'autres produits laitiers"
215;"10.52";"Fabrication de glaces et sorbets";"Fabrication de glaces et sorbets";"Fabrication de glaces et sorbets"
216;"10.52Z";"Fabrication de glaces et sorbets";"Fabrication de glaces et sorbets";"Fabrication de glaces et sorbets"
217;;;;
218;"10.6";"Travail des grains ; fabrication de produits amylacés";"Travail des grains ; fabrication de produits amylacés";"Travail des grains ; fab. prod. amylacé"
219;"10.61";"Travail des grains";"Travail des grains";"Travail des grains"
220;"10.61A";"Meunerie";"Meunerie";"Meunerie"
221;"10.61B";"Autres activités du travail des grains";"Autres activités du travail des grains";"Autres activités du travail des grains"
222;"10.62";"Fabrication de produits amylacés";"Fabrication de produits amylacés";"Fabrication de produits amylacés"
223;"10.62Z";"Fabrication de produits amylacés";"Fabrication de produits amylacés";"Fabrication de produits amylacés"
224;;;;
225;"10.7";"Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires";"Fabrication produits boulangerie-pâtisserie & pâtes alimentaires";"Fab. prod. boulangerie-pâtis. & pâtes "
226;"10.71";"Fabrication de pain et de pâtisserie fraîche";"Fabrication de pain et de pâtisserie fraîche";"Fab. de pain et de pâtisserie fraîche"
227;"10.71A";"Fabrication industrielle de pain et de pâtisserie fraîche";"Fabrication industrielle de pain et de pâtisserie fraîche";"Fab. indus. de pain & pâtisserie fraîche"
228;"10.71B";"Cuisson de produits de boulangerie";"Cuisson de produits de boulangerie";"Cuisson de produits de boulangerie"
229;"10.71C";"Boulangerie et boulangerie-pâtisserie";"Boulangerie et boulangerie-pâtisserie";"Boulangerie et boulangerie-pâtisserie"
230;"10.71D";"Pâtisserie";"Pâtisserie";"Pâtisserie"
231;"10.72";"Fabrication de biscuits, biscottes et pâtisseries de conservation";"Fabrication de biscuits, biscottes et pâtisseries de conservation";"Fab. pain, biscuit & pâtiss. de conserv."
232;"10.72Z";"Fabrication de biscuits, biscottes et pâtisseries de conservation";"Fabrication de biscuits, biscottes et pâtisseries de conservation";"Fab. pain, biscuit & pâtiss. de conserv."
233;"10.73";"Fabrication de pâtes alimentaires";"Fabrication de pâtes alimentaires";"Fabrication de pâtes alimentaires"
234;"10.73Z";"Fabrication de pâtes alimentaires";"Fabrication de pâtes alimentaires";"Fabrication de pâtes alimentaires"
235;;;;
236;"10.8";"Fabrication d'autres produits alimentaires";"Fabrication d'autres produits alimentaires";"Fabric. d'autres produits alimentaires"
237;"10.81";"Fabrication de sucre";"Fabrication de sucre";"Fabrication de sucre"
238;"10.81Z";"Fabrication de sucre";"Fabrication de sucre";"Fabrication de sucre"
239;"10.82";"Fabrication de cacao, chocolat et de produits de confiserie";"Fabrication de cacao, chocolat et de produits de confiserie";"Fabric. de cacao, chocolat & confiseries"
240;"10.82Z";"Fabrication de cacao, chocolat et de produits de confiserie";"Fabrication de cacao, chocolat et de produits de confiserie";"Fabric. de cacao, chocolat & confiseries"
241;"10.83";"Transformation du thé et du café";"Transformation du thé et du café";"Transformation du thé et du café"
242;"10.83Z";"Transformation du thé et du café";"Transformation du thé et du café";"Transformation du thé et du café"
243;"10.84";"Fabrication de condiments et assaisonnements";"Fabrication de condiments et assaisonnements";"Fabric. de condiments et assaisonnements"
244;"10.84Z";"Fabrication de condiments et assaisonnements";"Fabrication de condiments et assaisonnements";"Fabric. de condiments et assaisonnements"
245;"10.85";"Fabrication de plats préparés";"Fabrication de plats préparés";"Fabrication de plats préparés"
246;"10.85Z";"Fabrication de plats préparés";"Fabrication de plats préparés";"Fabrication de plats préparés"
247;"10.86";"Fabrication d'aliments homogénéisés et diététiques";"Fabrication d'aliments homogénéisés et diététiques";"Fab. d'aliment homogénéisé & diététique"
248;"10.86Z";"Fabrication d'aliments homogénéisés et diététiques";"Fabrication d'aliments homogénéisés et diététiques";"Fab. d'aliment homogénéisé & diététique"
249;"10.89";"Fabrication d'autres produits alimentaires n.c.a.";"Fabrication d'autres produits alimentaires n.c.a.";"Fab. d'autres prod. alimentaires n.c.a."
250;"10.89Z";"Fabrication d'autres produits alimentaires n.c.a.";"Fabrication d'autres produits alimentaires n.c.a.";"Fab. d'autres prod. alimentaires n.c.a."
251;;;;
252;"10.9";"Fabrication d'aliments pour animaux";"Fabrication d'aliments pour animaux";"Fabrication d'aliments pour animaux"
253;"10.91";"Fabrication d'aliments pour animaux de ferme";"Fabrication d'aliments pour animaux de ferme";"Fabric. d'aliments pour animaux de ferme"
254;"10.91Z";"Fabrication d'aliments pour animaux de ferme";"Fabrication d'aliments pour animaux de ferme";"Fabric. d'aliments pour animaux de ferme"
255;"10.92";"Fabrication d'aliments pour animaux de compagnie";"Fabrication d'aliments pour animaux de compagnie";"Fab. aliments pour animaux de compagnie"
256;"10.92Z";"Fabrication d'aliments pour animaux de compagnie";"Fabrication d'aliments pour animaux de compagnie";"Fab. aliments pour animaux de compagnie"
257;;;;
258;"11";"Fabrication de boissons";"Fabrication de boissons";"Fabrication de boissons"
259;;;;
260;"11.0";"Fabrication de boissons";"Fabrication de boissons";"Fabrication de boissons"
261;"11.01";"Production de boissons alcooliques distillées";"Production de boissons alcooliques distillées";"Prod. de boissons alcooliques distillées"
262;"11.01Z";"Production de boissons alcooliques distillées";"Production de boissons alcooliques distillées";"Prod. de boissons alcooliques distillées"
263;"11.02";"Production de vin (de raisin)";"Production de vin (de raisin)";"Production de vin (de raisin)"
264;"11.02A";"Fabrication de vins effervescents";"Fabrication de vins effervescents";"Fabrication de vins effervescents"
265;"11.02B";"Vinification";"Vinification";"Vinification"
266;"11.03";"Fabrication de cidre et de vins de fruits  ";"Fabrication de cidre et de vins de fruits";"Fabrication de cidre & de vins de fruits"
267;"11.03Z";"Fabrication de cidre et de vins de fruits ";"Fabrication de cidre et de vins de fruits";"Fabrication de cidre & de vins de fruits"
268;"11.04";"Production d'autres boissons fermentées non distillées";"Production d'autres boissons fermentées non distillées";"Prod. aut. boisson fermentée non distil."
269;"11.04Z";"Production d'autres boissons fermentées non distillées";"Production d'autres boissons fermentées non distillées";"Prod. aut. boisson fermentée non distil."
270;"11.05";"Fabrication de bière";"Fabrication de bière";"Fabrication de bière"
271;"11.05Z";"Fabrication de bière";"Fabrication de bière";"Fabrication de bière"
272;"11.06";"Fabrication de malt";"Fabrication de malt";"Fabrication de malt"
273;"11.06Z";"Fabrication de malt";"Fabrication de malt";"Fabrication de malt"
274;"11.07";"Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes";"Industrie des eaux embouteillées et des boissons rafraîchissantes";"Ind. eaux & boissons rafraîchissantes"
275;"11.07A";"Industrie des eaux de table";"Industrie des eaux de table";"Industrie des eaux de table"
276;"11.07B";"Production de boissons rafraîchissantes";"Production de boissons rafraîchissantes";"Production de boissons rafraîchissantes"
277;;;;
278;"12";"Fabrication de produits à base de tabac";"Fabrication de produits à base de tabac";"Fabrication de produits à base de tabac"
279;;;;
280;"12.0";"Fabrication de produits à base de tabac";"Fabrication de produits à base de tabac";"Fabrication de produits à base de tabac"
281;"12.00";"Fabrication de produits à base de tabac";"Fabrication de produits à base de tabac";"Fabrication de produits à base de tabac"
282;"12.00Z";"Fabrication de produits à base de tabac";"Fabrication de produits à base de tabac";"Fabrication de produits à base de tabac"
283;;;;
284;"13";"Fabrication de textiles";"Fabrication de textiles";"Fabrication de textiles"
285;;;;
286;"13.1";"Préparation de fibres textiles et filature";"Préparation de fibres textiles et filature";"Prépa. de fibres textiles et filature"
287;"13.10";"Préparation de fibres textiles et filature";"Préparation de fibres textiles et filature";"Prépa. de fibres textiles et filature"
288;"13.10Z";"Préparation de fibres textiles et filature";"Préparation de fibres textiles et filature";"Prépa. de fibres textiles et filature"
289;;;;
