"CODES NC
2020";LIBELLES AUTOSUFFISANTS NC 2020 (fichier DSECE);"CREATIONS (1)
MODIFICATIONS (2)"
0203 11 90;Carcasses ou demi-carcasses, de porcins non domestiques, fraîches ou réfrigérées;
0203 12;Jambons, épaules et leurs morceaux, non-désossés, de porcins, frais ou réfrigérés;
0203 12 11;Jambons et morceaux de jambons, non désossés, de porcins domestiques, frais ou réfrigérés;
0203 12 19;Épaules et morceaux d'épaules, non désossés, de porcins domestiques, frais ou réfrigérés;
0203 12 90;Jambons, épaules et leurs morceaux, non désossés, de porcins non domestiques, frais ou réfrigérés;
0203 19;Viandes des animaux de l'espèce porcine, fraîches ou réfrigérées (à l'excl. des carcasses et demi-carcasses ainsi que des jambons, épaules et leurs morceaux, non-désossés);
0203 19 11;Parties avant et morceaux de parties avant, de porcins domestiques, frais ou réfrigérés;
0203 19 13;Longes et morceaux de longes, de porcins domestiques, frais ou réfrigérés;
0203 19 15;Poitrines [entrelardés] et morceaux de poitrines, de porcins domestiques, frais ou réfrigérés;
0203 19 55;Viandes désossées de porcins domestiques, fraîches ou réfrigérées (à l'excl. des poitrines [entrelardés] et des morceaux de poitrines);
0203 19 59;Viandes non désossées, de porcins domestiques, fraîches ou réfrigérées (à l'excl. des carcasses ou demi-carcasses, des jambons, épaules et leurs morceaux ainsi que des parties avant, longes, poitrines et leurs morceaux);
0203 19 90;Viandes de porcins non domestiques, fraîches ou réfrigérées (à l'excl. des carcasses ou demi-carcasses et des jambons, épaules et leurs morceaux, non désossés);
0203 21;Carcasses ou demi-carcasses, de porcins, congelées;
0203 21 10;Carcasses ou demi-carcasses, de porcins domestiques, congelées;
0203 21 90;Carcasses ou demi-carcasses, de porcins non domestiques, congelées;
0203 22;Jambons, épaules et leurs morceaux, non-désossés, de porcins, congelés;
0203 22 11;Jambons et morceaux de jambons, non désossés, de porcins domestiques, congelés;
0203 22 19;Épaules et morceaux d'épaules, non désossés, de porcins domestiques, congelés;
0203 22 90;Jambons, épaules et leurs morceaux, non désossés, de porcins non domestiques, congelés;
0203 29;Viandes des animaux de l'espèce porcine, congelées (à l'excl. des carcasses ou demi-carcasses et des jambons, épaules et leurs morceaux, non-désossés);
0203 29 11;Parties avant et morceaux de parties avant, de porcins domestiques, congelés;
0203 29 13;Longes et morceaux de longes, de porcins domestiques, congelés;
0203 29 15;Poitrines [entrelardés] et morceaux de poitrines, de porcins domestiques, congelés;
0203 29 55;Viandes désossées de porcins domestiques, congelées (à l'excl. des poitrines [entrelardés] et des morceaux de poitrines);
0203 29 59;Viandes non désossées, de porcins domestiques, congelées (à l'excl. des carcasses et demi-carcasses, des jambons, épaules et leurs morceaux ainsi que des parties avant, longes, poitrines [entrelardés] et leurs morceaux);
0203 29 90;Viandes de porcins non domestiques, congelées (à l'excl. des carcasses et demi-carcasses ainsi que des jambons, épaules et leurs morceaux, non désossés);
0204;Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées;
0204 10 00;Carcasses ou demi-carcasses, d'agneaux, fraîches ou réfrigérées;
0204 21 00;Carcasses ou demi-carcasses, d'ovins, fraîches ou réfrigérées (à l'excl. des carcasses ou demi-carcasses d'agneaux);
0204 22;Morceaux non-désossés, d'ovins, frais ou réfrigérés (à l'excl. des carcasses ou demi-carcasses);
0204 22 10;Casques ou demi-casques, d'ovins, frais ou réfrigérés;
0204 22 30;Carrés et/ou selles ou demi-carrés et/ou demi-selles, d'ovins, frais ou réfrigérés;
0204 22 50;Culottes ou demi-culottes, d'ovins, fraîches ou réfrigérées;
0204 22 90;Viandes non désossées, d'ovins, fraîches ou réfrigérées (à l'excl. des carcasses ou demi-carcasses, des casques ou demi-casques, des carrés et/ou selles ou demi-carrés et/ou demi-selles ainsi que des culottes ou demi-culottes);
0204 23 00;Viandes désossées, d'ovins, fraîches ou réfrigérées;
0204 30 00;Carcasses ou demi-carcasses, d'agneaux, congelées;
0204 41 00;Carcasses ou demi-carcasses, d'ovins (à l'excl. des carcasses ou demi-carcasses d'agneaux), congelées;
0204 42;Morceaux non-désossés, d'ovins, congelés (à l'excl. des carcasses ou demi-carcasses);
0204 42 10;Casques ou demi-casques, d'ovins, congelés;
0204 42 30;Carrés et/ou selles ou demi-carrés et/ou demi-selles, d'ovins, congelés;
0204 42 50;Culottes ou demi-culottes, d'ovins, congelées;
0204 42 90;Morceaux non désossés, d'ovins, congelés (à l'excl. des carcasses ou demi-carcasses, des casques ou demi-casques, des carrés et/ou selles ou demi-carrés et/ou demi-selles ainsi que des culottes ou demi-culottes);
0204 43;Viandes désossées, d'ovins, congelées;
0204 43 10;Viandes désossées d'agneau, congelées;
0204 43 90;Viandes désossées d'ovins, congelées (à l'excl. des viandes d'agneau);
0204 50;Viandes des animaux de l'espèce caprine, fraîches, réfrigérées ou congelées;
0204 50 11;Carcasses ou demi-carcasses, de caprins, fraîches ou réfrigérées;
0204 50 13;Casques ou demi-casques, de caprins, frais ou réfrigérés;
0204 50 15;Carrés et/ou selles ou demi-carrés et/ou demi-selles, de caprins, frais ou réfrigérés;
0204 50 19;Culottes ou demi-culottes, de caprins, fraîches ou réfrigérées;
0204 50 31;Morceaux non désossés, de caprins, frais ou réfrigérés (à l'excl. des carcasses ou demi-carcasses, des casques ou demi-casques, des carrés et/ou selles ou demi-carrés et/ou demi-selles ainsi que des culottes ou demi-culottes);
0204 50 39;Morceaux désossés, de caprins, frais ou réfrigérés;
0204 50 51;Carcasses ou demi-carcasses, de caprins, congelées;
0204 50 53;Casques ou demi-casques, de caprins, congelés;
0204 50 55;Carrés et/ou selles ou demi-carrés et/ou demi-selles, de caprins, congelés;
0204 50 59;Culottes ou demi-culottes, de caprins, congelées;
0204 50 71;Morceaux non désossés, de caprins, congelés (à l'excl. des carcasses ou demi-carcasses, des casques ou demi-casques, des carrés et/ou selles ou demi-carrés et/ou demi-selles ainsi que des culottes ou demi-culottes);
0204 50 79;Morceaux désossés, de caprins, congelés;
0205 00;Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées;
0205 00 20;Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches ou réfrigérées;
0205 00 80;Viandes des animaux des espèces chevaline, asine ou mulassière, congelées;
0206;Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés;
0206 10;Abats comestibles de bovins, frais ou réfrigérés;
0206 10 10;Abats comestibles de bovins, destinés à la fabrication de produits pharmaceutiques, frais ou réfrigérés;
0206 10 95;Onglets et hampes de bovins, comestibles, frais ou réfrigérés (à l'excl. de ceux destinés à la fabrication de produits pharmaceutiques);
0206 10 98;Abats comestibles de bovins, frais ou réfrigérés (à l'excl. de ceux destinés à la fabrication de produits pharmaceutiques ainsi que des onglets et hampes);
0206 21 00;Langues de bovins, comestibles, congelées;
0206 22 00;Foies de bovins, comestibles, congelés;
0206 29;Abats comestibles de bovins, congelés (à l'excl. des langues et des foies);
0206 29 10;Abats comestibles de bovins, congelés, destinés à la fabrication de produits pharmaceutiques (à l'excl. des langues et des foies);
0206 29 91;Onglets et hampes de bovins, comestibles, congelés (à l'excl. de ceux destinés à la fabrication de produits pharmaceutiques);
0206 29 99;Abats comestibles de bovins, congelés (à l'excl. de ceux destinés à la fabrication de produits pharmaceutiques ainsi que des langues, foies, onglets et hampes);
0206 30 00;Abats comestibles de porcins, frais ou réfrigérés;
0206 41 00;Foies de porcins, comestibles, congelés;
0206 49 00;Abats comestibles de porcins, congelés (à l'excl. des foies);
0206 80;Abats comestibles des animaux des espèces ovine, caprine, chevaline, asine ou mulassière, frais ou réfrigérés;
0206 80 10;Abats comestibles des animaux des espèces ovine, caprine, chevaline, asine ou mulassière, frais ou réfrigérés, destinés à la fabrication de produits pharmaceutiques;
0206 80 91;Abats comestibles des animaux des espèces chevaline, asine ou mulassière, frais ou réfrigérés (à l'excl. de ceux destinés à la fabrication de produits pharmaceutiques);
0206 80 99;Abats comestibles d'ovins ou de caprins, frais ou réfrigérés (à l'excl. de ceux destinés à la fabrication de produits pharmaceutiques);
0206 90;Abats comestibles des animaux des espèces ovine, caprine, chevaline, asine ou mulassière, congelés;
0206 90 10;Abats comestibles des animaux des espèces ovine, caprine, chevaline, asine ou mulassière, congelés, destinés à la fabrication de produits pharmaceutiques;
0206 90 91;Abats comestibles des animaux des espèces chevaline, asine ou mulassière, congelés (à l'excl. de ceux destinés à la fabrication de produits pharmaceutiques);
0206 90 99;Abats comestibles d'ovins ou de caprins, congelés (à l'excl. de ceux destinés à la fabrication de produits pharmaceutiques);
0207;Viandes et abats comestibles, frais, réfrigérés ou congelés, de coqs, poules, canards, oies, dindons, dindes et pintades [des espèces domestiques];
0207 11;Coqs et poules [des espèces domestiques], non-découpés en morceaux, frais ou réfrigérés;
0207 11 10;Coqs et poules [des espèces domestiques], présentés plumés, sans boyaux, avec la tête et les pattes, dénommés 'poulets 83%', frais ou réfrigérés;
0207 11 30;Coqs et poules [des espèces domestiques], présentés plumés, vidés, sans la tête ni les pattes, mais avec le cou, le coeur, le foie et le gésier, dénommés 'poulets 70%', frais ou réfrigérés;
0207 11 90;Coqs et poules [des espèces domestiques], présentés plumés, vidés, sans la tête ni les pattes et sans le cou, le coeur, le foie et le gésier, dénommés 'poulets 65%', frais ou réfrigérés, ou coqs et poules autrement présentés, non découpés en morceaux, frais ou réfrigérés (à l'excl. des 'poulets 83%' et des 'poulets 70%');
0207 12;Coqs et poules [des espèces domestiques], non-découpés en morceaux, congelés;
0207 12 10;Coqs et poules [des espèces domestiques], présentés plumés, vidés, sans la tête ni les pattes, mais avec le cou, le coeur, le foie et le gésier, dénommés 'poulets 70%', congelés;
0207 12 90;Coqs et poules [des espèces domestiques], présentés plumés, vidés, sans la tête ni les pattes et sans le cou, le coeur, le foie et le gésier, dénommés 'poulets 65%', congelés, ou coqs et poules autrement présentés, non-découpés en morceaux, congelés (à l'excl. des 'poulets 70%');
0207 13;Morceaux et abats comestibles de coqs et de poules [des espèces domestiques], frais ou réfrigérés;
0207 13 10;Morceaux désossés de coqs et de poules [des espèces domestiques], frais ou réfrigérés;
0207 13 20;Demis ou quarts de coqs et de poules [des espèces domestiques], frais ou réfrigérés;
0207 13 30;Ailes entières, même sans la pointe, de coqs et de poules [des espèces domestiques], fraîches ou réfrigérées;
0207 13 40;Dos, cous, dos avec cous, croupions ou pointes d'ailes de coqs et de poules [des espèces domestiques], frais ou réfrigérés;
0207 13 50;Poitrines et morceaux de poitrines, non désossés, de coqs et de poules [des espèces domestiques], frais ou réfrigérés;
0207 13 60;Cuisses et morceaux de cuisses, non désossés, de coqs et de poules [des espèces domestiques], frais ou réfrigérés;
0207 13 70;Morceaux non désossés de coqs et de poules [des espèces domestiques], frais ou réfrigérés (à l'excl. des demis ou quarts, des ailes entières, même sans la pointe, des dos, des cous, des dos avec cou, des croupions, des pointes d'ailes, des poitrines ou des cuisses et de leurs morceaux);
0207 13 91;Foies de coqs et de poules [des espèces domestiques], comestibles, frais ou réfrigérés;
0207 13 99;Abats comestibles de coqs et de poules [des espèces domestiques], frais ou réfrigérés (à l'excl. des foies);
0207 14;Morceaux et abats comestibles de coqs et de poules [des espèces domestiques], congelés;
0207 14 10;Morceaux désossés de coqs ou de poules [des espèces domestiques], congelés;
0207 14 20;Demis ou quarts de coqs ou de poules [des espèces domestiques], congelés;
0207 14 30;Ailes entières, même sans la pointe, de coqs ou de poules [des espèces domestiques], congelées;
0207 14 40;Dos, cous, dos avec cous, croupions ou pointes d'ailes, de coqs ou de poules [des espèces domestiques], congelés;
0207 14 50;Poitrines et morceaux de poitrines, non désossés, de coqs ou de poules [des espèces domestiques], congelés;
0207 14 60;Cuisses et morceaux de cuisses, non désossés, de coqs ou de poules [des espèces domestiques], congelés;
0207 14 70;Morceaux non désossés de coqs ou de poules [des espèces domestiques], congelés (à l'excl. des demis ou quarts, des ailes entières, même sans la pointe, des dos, des cous, des dos avec cous, des croupions, des pointes d'aile, des poitrines ou des cuisses et de leurs morceaux);
0207 14 91;Foies de coqs ou de poules [des espèces domestiques], comestibles, congelés;
0207 14 99;Abats comestibles de coqs ou de poules [des espèces domestiques], congelés (à l'excl. des foies);
0207 24;Dindes et dindons [des espèces domestiques], non-découpées en morceaux, frais ou réfrigérés;
0207 24 10;Dindons et dindes [des espèces domestiques], présentés plumés, vidés, sans la tête ni les pattes, mais avec le cou, le coeur, le foie et le gésier, dénommés 'dindes 80%', frais ou réfrigérés;
0207 24 90;Dindons et dindes [des espèces domestiques], présentés plumés, vidés, sans la tête ni le cou, sans les pattes, le coeur, le foie et le gésier, dénommés 'dindes 73%', frais ou réfrigérés, ou dindons et dindes autrement présentés, non découpés en morceaux, frais ou réfrigérés (à l'excl. des 'dindes 80%');
0207 25;Dindes et dindons [des espèces domestiques], non-découpés en morceaux, congelés;
0207 25 10;Dindons et dindes [des espèces domestiques], présentés plumés, vidés, sans la tête ni les pattes, mais avec le cou, le coeur, le foie et le gésier, dénommés 'dindes 80%', congelés;
0207 25 90;Dindons et dindes [des espèces domestiques], présentés plumés, vidés, sans la tête ni le cou et sans les pattes, le coeur, le foie et le gésier, dénommés 'dindes 73%', congelés, ou dindons et dindes autrement présentés, non découpés en morceaux, congelés (à l'excl. des 'dindes 80%');
0207 26;Morceaux et abats comestibles de dindes et dindons [des espèces domestiques], frais ou réfrigérés;
0207 26 10;Morceaux désossés de dindons et de dindes [des espèces domestiques], frais ou réfrigérés;
0207 26 20;Demis ou quarts de dindons et de dindes [des espèces domestiques], frais ou réfrigérés;
0207 26 30;Ailes entières, même sans la pointe, de dindons et de dindes [des espèces domestiques], fraîches ou réfrigérées;
0207 26 40;Dos, cous, dos avec cous, croupions ou pointes d'ailes, de dindons et de dindes [des espèces domestiques], frais ou réfrigérés;
0207 26 50;Poitrines et morceaux de poitrines, non désossés, de dindons et de dindes [des espèces domestiques], frais ou réfrigérés;
0207 26 60;Pilons et morceaux de pilons, non désossés, de dindons et de dindes [des espèces domestiques], frais ou réfrigérés;
0207 26 70;Cuisses et morceaux de cuisses, non désossés, de dindons et de dindes [des espèces domestiques], frais ou réfrigérés (à l'excl. des pilons);
0207 26 80;Morceaux non désossés de dindons et de dindes [des espèces domestiques], frais ou réfrigérés (à l'excl. des demis ou quarts, des ailes entières, même sans la pointe, des dos, des cous, des dos avec cous, des croupions et des pointes d'ailes ainsi que des poitrines ou cuisses et de leurs morceaux);
0207 26 91;Foies de dindes et dindons [des espèces domestiques], comestibles, frais ou réfrigérés;
0207 26 99;Abats comestibles de dindes et dindons [des espèces domestiques], frais ou réfrigérés (à l'excl. des foies);
0207 27;Morceaux et abats comestibles de dindes et dindons [des espèces domestiques], congelés;
0207 27 10;Morceaux désossés de dindons ou de dindes [des espèces domestiques], congelés;
0207 27 20;Demis ou quarts de dindons ou de dindes [des espèces domestiques], congelés;
0207 27 30;Ailes entières, même sans la pointe, de dindons ou de dindes [des espèces domestiques], congelées;
0207 27 40;Dos, cous, dos avec cous, croupions, pointes d'ailes, de dindons ou de dindes [des espèces domestiques], congelés;
0207 27 50;Poitrines et morceaux de poitrines, non désossés, de dindons ou de dindes [des espèces domestiques], congelés;
0207 27 60;Pilons et morceaux de pilons, non désossés, de dindons ou de dindes [des espèces domestiques], congelés;
0207 27 70;Cuisses et morceaux de cuisses, non désossés, de dindons ou de dindes [des espèces domestiques], congelés (à l'excl. des pilons);
0207 27 80;Morceaux non désossés de dindons ou de dindes [des espèces domestiques], congelés (à l'excl. des demis ou quarts, des ailes entières, même sans la pointe, des dos, des cous, des dos avec cous, des croupions, des pointes d'ailes ainsi que des poitrines ou cuisses et de leurs morceaux);
0207 27 91;Foies de dindes et dindons [des espèces domestiques], comestibles, congelés;
0207 27 99;Abats comestibles de dindons ou de dindes [des espèces domestiques,] congelés (à l'excl. des foies);
0207 41;Canards domestiques, non découpés en morceaux, frais ou réfrigérés;
0207 41 20;Canards domestiques, présentés plumés, saignés, non vidés ou sans boyaux, avec la tête et les pattes, dénommés [canards 85 %], non découpés en morceaux, frais ou réfrigérés;
0207 41 30;Canards domestiques, présentés plumés, vidés, sans la tête ni les pattes mais avec le cou, le cœur, le foie et le gésier, dénommés [canards 70 %], non découpés en morceaux, frais ou réfrigérés;
0207 41 80;Canards domestiques, présentés plumés, vidés, sans la tête ni les pattes et sans le cou, le cœur, le foie et le gésier, dénommés [canards 63 %], non découpés en morceaux, frais ou réfrigérés;
0207 42;Canards domestiques, non découpés en morceaux, congelés;
0207 42 30;Canards domestiques, présentés plumés, vidés, sans la tête ni les pattes mais avec le cou, le cœur, le foie et le gésier, dénommés [canards 70%], non découpés en morceaux, congelés;
0207 42 80;Canards domestiques, présentés plumés, vidés, sans la tête ni les pattes et sans le cou, le cœur, le foie et le gésier, dénommés [canards 63%], ou autrement présentés, non découpés en morceaux, congelés;
0207 43 00;Foies gras de canards domestiques, frais ou réfrigérés;
0207 44;Morceaux et abats comestibles de canards domestiques, frais ou réfrigérés (à l'excl. des foies gras);
0207 44 10;Morceaux désossés de canards domestiques, frais ou réfrigérés;
0207 44 21;Demis ou quarts de canards domestiques, frais ou réfrigérés;
0207 44 31;Ailes entières de canards domestiques, fraîches ou réfrigérées;
0207 44 41;Dos, cous, dos avec cous, croupions ou pointes d’ailes, de canards domestiques, frais ou réfrigérés;
